product,family,category,sources,evidence,confidence,recommended_website_status
"Industrial Sectional Overhead Doors","Industrial Doors","Sectional Overhead Doors","SAS-own; S1; S2; S3; S9","SAS published two dedicated pages for this product (overhead-sectional-doors.html and sectional-door.html, near-identical specification tables); both live in navigation. Panel/track terminology corroborated by S2 and S9.",High,CONFIRMED
"Aluminium Garage Doors","Industrial Doors","Garage Doors","SAS-own; S2","SAS published garage-door.html with a glazed aluminium panel specification; live in navigation. Category corroborated by S2 (Garage Sectional Overhead Doors).",High,CONFIRMED
"Residential Garage Doors","Industrial Doors","Garage Doors","SAS-own; S2","SAS published residential-garage-door.html with an insulated steel panel specification; live in navigation.",High,CONFIRMED
"High Speed Roll-Up Doors","High Speed Doors","Roll-Up High Speed Doors","SAS-own; S1; S2; S4; S5","SAS published two pages (high-speed-door.html, high-speed-roll-up-door.html) sharing one specification table whose own Application row reads 'High Speed Roll Up Door'; both live. Roll-up as a distinct category confirmed by S2, S4 and S5.",High,CONFIRMED
"Self-Repairing High Speed Doors","High Speed Doors","Roll-Up High Speed Doors","SAS-own; S2; S5","SAS published high-speed-self-repairing-doors.html; live in navigation. S2 lists the same concept as 'Anti Crash Doors'; S5 as FlexTec self-repairing.",High,CONFIRMED
"High Speed Fold-Up Doors","High Speed Doors","Fold-Up High Speed Doors","SAS-own; S2; S4","SAS published high-speed-fold-up-doors.html; live in navigation. Fold-up as a distinct category confirmed by S2 and S4 (F-Series folding doors).",High,CONFIRMED
"High Speed Insulated Panel Doors","High Speed Doors","Rigid Panel High Speed Doors","SAS-own; S4; S5","SAS published high-speed-industrial-door.html specifying a 43 mm aluminium alloy PU-foam panel and a rated wind velocity, which is a rigid-panel door not a fabric one. Rigid high speed doors corroborated by S4 (spiral) and S5 (Spiral rigid rolling).",High,CONFIRMED
"Galvanized Steel Rolling Shutters","Rolling Shutters","Single-Wall Rolling Shutters","SAS-own; S1; S2","SAS published m-s-rolling-shutters.html with a galvanized steel slat specification (type code, slat heights, thickness); live in navigation. S2 lists M.S./Galvanised under Single Wall Rolling Shutters.",High,CONFIRMED
"Aluminium Rolling Shutters","Rolling Shutters","Single-Wall Rolling Shutters","SAS-own; S2","SAS published aluminium-rolling-shutters.html with single and double wall aluminium slat specifications, plus a second confirmed variant page (aluminium-single-wall.html). Both live.",High,CONFIRMED
"Grille Rolling Shutters","Rolling Shutters","Single-Wall Rolling Shutters","SAS-own; S2","SAS published m-s-grill-rolling-shutters.html; live in navigation. S2 lists Grill Rolling Shutters under Single Wall.",High,CONFIRMED
